0154,	1396.209717,	901.509521,	367.469295,	185.833077,	887.532945,	64,	77,	89
0155,	1423.602783,	887.657349,	391.940716,	180.795583,	905.054735,	63,	74,	90
0156,	1436.625732,	890.144775,	404.467882,	184.337890,	914.876198,	73,	84,	91
0157,	1452.160522,	884.699890,	418.132238,	182.535113,	923.254882,	68,	78,	94
0158,	1474.929443,	877.369202,	439.598360,	180.657459,	937.907845,	61,	72,	84
0159,	1504.119751,	857.702148,	472.698232,	173.003749,	966.718330,	58,	70,	87
0160,	1519.853149,	850.038025,	490.805116,	170.479138,	981.810516,	60,	73,	86
0161,	1561.909302,	848.298584,	526.704926,	171.647837,	995.466352,	22,	33,	42
0169,	1542.430176,	773.308838,	550.247701,	128.446814,	1067.247458,	54,	63,	79
0170,	1368.895386,	749.794373,	427.037332,	112.442093,	1080.925879,	51,	58,	74
0171,	1241.597168,	783.881714,	327.881473,	136.530326,	1069.185552,	57,	70,	82
0172,	1202.921631,	802.681885,	298.041632,	149.924050,	1065.169820,	85,	95,	109
0173,	1152.555298,	811.407776,	265.338645,	159.108802,	1083.766562,	84,	96,	106
0174,	1096.682617,	833.365417,	225.856626,	177.654914,	1096.233888,	74,	86,	99
0175,	1029.878784,	830.206787,	180.028765,	180.285652,	1127.731004,	79,	91,	104
0177,	948.177429,	810.885620,	120.384219,	171.330413,	1169.903367,	89,	99,	113
0178,	916.121216,	759.385559,	98.552374,	135.270943,	1222.131721,	72,	83,	103
0179,	863.070435,	721.189697,	55.531287,	106.703238,	1267.869035,	64,	77,	92
0180,	813.339905,	683.619751,	12.183152,	76.368772,	1315.132214,	70,	81,	100
0181,	810.446228,	666.720459,	9.644620,	61.600560,	1329.499286,	72,	84,	87
0182,	807.071655,	670.099121,	6.526894,	64.699072,	1329.070317,	81,	91,	107
0183,	802.786743,	666.023621,	2.581914,	61.170802,	1334.158170,	72,	84,	87
0184,	767.357605,	636.148621,	-31.111013,	34.452746,	1372.443892,	70,	82,	93
0185,	733.365417,	639.529907,	-63.526646,	37.686174,	1372.836271,	62,	75,	90
0186,	702.748962,	625.889404,	-93.383965,	24.859941,	1382.740047,	70,	82,	98
0187,	677.714966,	608.410645,	-120.064629,	8.257927,	1413.852974,	59,	72,	85
0188,	1343.236572,	1195.470337,	278.555987,	305.339960,	738.390340,	183,	162,	145
0189,	1340.592285,	1196.950928,	277.572727,	306.510668,	739.382958,	184,	163,	150
0190,	538.096252,	591.320312,	-265.475575,	-8.798061,	1459.638640,	40,	49,	61
0192,	1335.392700,	1193.739136,	277.043688,	307.235568,	745.140718,	182,	160,	141
0193,	467.065521,	555.904236,	-346.107571,	-45.840483,	1496.975908,	155,	161,	158
0194,	430.307220,	531.330872,	-383.854479,	-71.299615,	1495.161558,	131,	137,	142
0195,	418.700439,	534.214111,	-395.240640,	-68.191156,	1492.649330,	135,	142,	141
0196,	394.834747,	532.412903,	-420.849119,	-70.203382,	1495.742159,	130,	141,	140
0197,	368.224884,	527.064392,	-446.418331,	-75.409147,	1488.836123,	133,	139,	141
0198,	338.323547,	525.888184,	-476.954293,	-76.564335,	1487.652639,	126,	132,	140
0200,	280.049164,	517.523193,	-540.535067,	-85.741963,	1497.007882,	127,	132,	131
0201,	251.994873,	508.299774,	-563.837333,	-94.349502,	1481.602473,	126,	127,	132
0202,	236.229233,	503.139008,	-581.687589,	-99.939266,	1485.763663,	122,	126,	131
0203,	217.534195,	502.929840,	-597.302389,	-99.542738,	1476.679783,	124,	129,	133
0204,	187.903473,	487.478912,	-629.892147,	-115.792431,	1481.865383,	123,	128,	127
0205,	148.819458,	467.647461,	-659.469657,	-134.037309,	1458.330310,	120,	121,	126
0206,	104.502640,	455.579987,	-700.523925,	-145.463781,	1450.407376,	114,	115,	118
0207,	53.986053,	430.211304,	-745.401004,	-169.649199,	1438.816880,	108,	112,	117
0212,	106.968781,	534.598022,	-729.890602,	-68.880435,	1516.587516,	115,	120,	125
0215,	262.830414,	656.167480,	-531.798781,	55.605898,	1425.602391,	31,	40,	52
0216,	306.078156,	654.617737,	-492.533815,	54.464248,	1435.953329,	33,	42,	54
0217,	389.958771,	691.233704,	-398.665841,	88.702693,	1400.051445,	49,	57,	71
0218,	426.056610,	702.572083,	-359.449032,	98.596298,	1384.184306,	58,	63,	77
0219,	466.070557,	713.148865,	-316.812092,	107.348811,	1366.185042,	55,	65,	79
0220,	544.180237,	748.799561,	-235.784338,	137.145805,	1327.221380,	85,	96,	107
0221,	1314.920898,	1175.478271,	266.237094,	297.547951,	744.544278,	185,	159,	153
0222,	626.944458,	757.328735,	-156.728873,	142.485796,	1304.145380,	74,	90,	102
0223,	651.545471,	761.081909,	-134.643896,	146.096561,	1306.037737,	80,	90,	106
0224,	686.277588,	768.458801,	-101.952656,	151.024076,	1290.966527,	77,	89,	105
